Folder,WakeExists,WakeLength,AccExists,AccFileName,AccLength,SameLength
.git,0,NaN,0,,NaN,0
subj_001,1,320943,1,subj016_accelerometer.mat,320943,1
subj_002,1,325879,1,subj017_accelerometer.mat,325879,1
subj_003,1,336485,1,subj018_accelerometer.mat,336485,1
subj_004,1,334752,1,subj019_accelerometer.mat,334752,1
subj_005,1,308788,1,subj020_accelerometer.mat,308788,1
subj_006,1,321990,1,subj021_accelerometer.mat,321990,1
subj_007,1,258965,1,subj022_accelerometer.mat,258965,1
subj_008,1,352435,1,subj023_accelerometer.mat,352435,1
subj_009,1,336665,1,subj024_accelerometer.mat,336665,1
subj_010,1,269258,1,subj025_accelerometer.mat,269258,1
subj_011,1,297540,1,subj026_accelerometer.mat,297540,1
subj_012,1,296975,1,subj027_accelerometer.mat,296975,1
subj_013,1,271760,1,subj028_accelerometer.mat,271760,1
subj_014,1,368455,1,subj029_accelerometer.mat,368455,1
subj_015,1,349101,1,subj030_accelerometer.mat,349101,1
subj_016,1,350150,1,subj031_accelerometer.mat,350150,1
subj_017,1,318051,1,subj032_accelerometer.mat,318051,1
subj_018,1,321190,1,subj034_accelerometer.mat,321190,1
subj_019,1,340067,1,subj035_accelerometer.mat,340067,1
subj_020,1,326818,1,subj036_accelerometer.mat,326818,1
subj_021,1,328054,1,subj037_accelerometer.mat,328054,1
subj_022,1,410027,1,subj038_accelerometer.mat,410027,1
subj_023,1,280345,1,subj039_accelerometer.mat,280345,1
subj_024,1,329805,1,subj040_accelerometer.mat,329805,1
subj_025,1,340154,1,subj041_accelerometer.mat,340154,1
subj_026,1,383082,1,subj042_accelerometer.mat,383082,1
subj_027,1,262286,1,subj043_accelerometer.mat,262286,1
subj_028,1,326042,1,subj044_accelerometer.mat,326042,1
subj_029,1,341297,1,subj060_accelerometer.mat,341297,1
subj_030,1,354667,1,subj061_accelerometer.mat,354667,1
subj_031,1,321647,1,subj062_accelerometer.mat,321647,1
subj_032,1,323236,1,subj063_accelerometer.mat,323236,1
subj_033,1,311775,1,subj064_accelerometer.mat,311775,1
subj_034,1,330456,1,subj065_accelerometer.mat,330456,1
subj_035,1,342465,1,subj066_accelerometer.mat,342465,1
subj_036,1,270070,1,subj067_accelerometer.mat,270070,1
subj_037,1,370170,1,subj068_accelerometer.mat,370170,1
subj_038,1,344999,1,subj069_accelerometer.mat,344999,1
subj_039,1,301931,1,subj070_accelerometer.mat,301931,1
subj_040,1,304286,1,subj071_accelerometer.mat,304286,1
subj_041,1,243879,1,subj072_accelerometer.mat,243879,1
subj_042,1,347279,1,subj073_accelerometer.mat,347279,1
subj_043,1,287902,1,subj074_accelerometer.mat,287902,1
subj_044,1,359444,1,subj075_accelerometer.mat,359444,1
subj_045,1,308828,1,subj076_accelerometer.mat,308828,1
subj_046,1,329252,1,subj077_accelerometer.mat,329252,1
subj_047,1,367780,1,subj078_accelerometer.mat,367780,1
subj_048,1,373550,1,subj079_accelerometer.mat,373550,1
subj_049,1,322272,1,subj080_accelerometer.mat,322272,1
subj_050,1,325563,1,subj081_accelerometer.mat,325563,1
subj_051,1,335268,1,subj082_accelerometer.mat,335268,1
subj_052,1,291854,1,subj083_accelerometer.mat,291854,1
subj_053,1,302012,1,subj084_accelerometer.mat,302012,1
subj_054,1,377333,1,subj085_accelerometer.mat,377333,1
subj_055,1,318384,1,subj086_accelerometer.mat,318384,1
subj_056,1,373997,1,subj087_accelerometer.mat,373997,1
subj_057,1,351798,1,subj088_accelerometer.mat,351798,1
subj_058,1,293193,1,subj089_accelerometer.mat,293193,1
