WakeFolder,WakeLength,MatchedAccFolder,MatchedAccName,MatchedAccLength
subj_001,320943,subj_016,subj016_accelerometer.mat,320943
subj_002,325879,subj_017,subj017_accelerometer.mat,325879
subj_003,336485,subj_018,subj018_accelerometer.mat,336485
subj_004,334752,subj_019,subj019_accelerometer.mat,334752
subj_005,308788,subj_020,subj020_accelerometer.mat,308788
subj_006,321990,subj_021,subj021_accelerometer.mat,321990
subj_007,258965,subj_022,subj022_accelerometer.mat,258965
subj_008,352435,subj_023,subj023_accelerometer.mat,352435
subj_009,336665,subj_024,subj024_accelerometer.mat,336665
subj_010,269258,subj_025,subj025_accelerometer.mat,269258
subj_011,297540,subj_026,subj026_accelerometer.mat,297540
subj_012,296975,subj_027,subj027_accelerometer.mat,296975
subj_013,271760,subj_028,subj028_accelerometer.mat,271760
subj_014,368455,subj_029,subj029_accelerometer.mat,368455
subj_015,349101,subj_030,subj030_accelerometer.mat,349101
subj_016,350150,subj_031,subj031_accelerometer.mat,350150
subj_017,318051,subj_032,subj032_accelerometer.mat,318051
subj_018,321190,subj_034,subj034_accelerometer.mat,321190
subj_019,340067,subj_035,subj035_accelerometer.mat,340067
subj_020,326818,subj_036,subj036_accelerometer.mat,326818
subj_021,328054,subj_037,subj037_accelerometer.mat,328054
subj_022,410027,subj_038,subj038_accelerometer.mat,410027
subj_023,280345,subj_039,subj039_accelerometer.mat,280345
subj_024,329805,subj_040,subj040_accelerometer.mat,329805
subj_025,340154,subj_041,subj041_accelerometer.mat,340154
subj_026,383082,subj_042,subj042_accelerometer.mat,383082
subj_027,262286,subj_043,subj043_accelerometer.mat,262286
subj_028,326042,subj_044,subj044_accelerometer.mat,326042
subj_029,341297,subj_060,subj060_accelerometer.mat,341297
subj_030,354667,subj_061,subj061_accelerometer.mat,354667
subj_031,321647,subj_062,subj062_accelerometer.mat,321647
subj_032,323236,subj_063,subj063_accelerometer.mat,323236
subj_033,311775,subj_064,subj064_accelerometer.mat,311775
subj_034,330456,subj_065,subj065_accelerometer.mat,330456
subj_035,342465,subj_066,subj066_accelerometer.mat,342465
subj_036,270070,subj_067,subj067_accelerometer.mat,270070
subj_037,370170,subj_068,subj068_accelerometer.mat,370170
subj_038,344999,subj_069,subj069_accelerometer.mat,344999
subj_039,301931,subj_070,subj070_accelerometer.mat,301931
subj_040,304286,subj_071,subj071_accelerometer.mat,304286
subj_041,243879,subj_072,subj072_accelerometer.mat,243879
subj_042,347279,subj_073,subj073_accelerometer.mat,347279
subj_043,287902,subj_074,subj074_accelerometer.mat,287902
subj_044,359444,subj_075,subj075_accelerometer.mat,359444
subj_045,308828,subj_076,subj076_accelerometer.mat,308828
subj_046,329252,subj_077,subj077_accelerometer.mat,329252
subj_047,367780,subj_078,subj078_accelerometer.mat,367780
subj_048,373550,subj_079,subj079_accelerometer.mat,373550
subj_049,322272,subj_080,subj080_accelerometer.mat,322272
subj_050,325563,subj_081,subj081_accelerometer.mat,325563
subj_051,335268,subj_082,subj082_accelerometer.mat,335268
subj_052,291854,subj_083,subj083_accelerometer.mat,291854
subj_053,302012,subj_084,subj084_accelerometer.mat,302012
subj_054,377333,subj_085,subj085_accelerometer.mat,377333
subj_055,318384,subj_086,subj086_accelerometer.mat,318384
subj_056,373997,subj_087,subj087_accelerometer.mat,373997
subj_057,351798,subj_088,subj088_accelerometer.mat,351798
subj_058,293193,subj_089,subj089_accelerometer.mat,293193
subj_059,283733,subj_090,subj090_accelerometer.mat,283733
subj_060,356797,subj_091,subj091_accelerometer.mat,356797
subj_061,345442,subj_094,subj094_accelerometer.mat,345442
subj_062,342720,subj_005,subj005_accelerometer.mat,342720
subj_063,380491,subj_045,subj045_accelerometer.mat,380491
subj_064,379484,subj_047,subj047_accelerometer.mat,379484
subj_065,363051,subj_048,subj048_accelerometer.mat,363051
subj_066,359894,subj_010,subj010_accelerometer.mat,359894
subj_067,331076,subj_092,subj092_accelerometer.mat,331076
subj_068,380289,subj_058,subj058_accelerometer.mat,380289
subj_069,302906,subj_096,subj096_accelerometer.mat,302906
subj_070,355961,subj_049,subj049_accelerometer.mat,355961
subj_071,335084,subj_093,subj093_accelerometer.mat,335084
subj_072,355425,subj_046,subj046_accelerometer.mat,355425
subj_073,356756,subj_014,subj014_accelerometer.mat,356756
subj_074,353762,subj_051,subj051_accelerometer.mat,353762
subj_075,350505,subj_004,subj004_accelerometer.mat,350505
subj_076,342898,subj_003,subj003_accelerometer.mat,342898
subj_077,367986,subj_012,subj012_accelerometer.mat,367986
subj_078,247122,subj_007,subj007_accelerometer.mat,247122
subj_079,333288,subj_097,subj097_accelerometer.mat,333288
subj_080,354135,subj_001,subj001_accelerometer.mat,354135
subj_081,335533,subj_055,subj055_accelerometer.mat,335533
subj_082,321480,subj_052,subj052_accelerometer.mat,321480
subj_083,333998,subj_053,subj053_accelerometer.mat,333998
subj_084,383891,subj_011,subj011_accelerometer.mat,383891
subj_085,308292,subj_009,subj009_accelerometer.mat,308292
subj_086,330253,subj_006,subj006_accelerometer.mat,330253
subj_087,365237,subj_002,subj002_accelerometer.mat,365237
subj_088,292683,subj_015,subj015_accelerometer.mat,292683
subj_089,288492,subj_095,subj095_accelerometer.mat,288492
subj_090,371793,subj_054,subj054_accelerometer.mat,371793
subj_091,378435,subj_033,subj033_accelerometer.mat,378435
subj_092,356400,subj_050,subj050_accelerometer.mat,356400
subj_093,294863,subj_057,subj057_accelerometer.mat,294863
subj_094,320357,subj_056,subj056_accelerometer.mat,320357
subj_095,309824,subj_008,subj008_accelerometer.mat,309824
subj_096,333979,subj_013,subj013_accelerometer.mat,333979
subj_097,352529,subj_059,subj059_accelerometer.mat,352529
